,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,bismillahirrahmanirrahim hari inshaa allah pertama rekan rekan kantor minta duluan memakai baik baik mereka ikut meyakinkan orang tidak dengan ucapan juga tindakan,1,-1,1
1,temenku seminggu lalu udah vaksin astrazeneca hari positif intinya udah vaksin tetep waspada taatin prokes,1,-1,-1
2,seminggu denger alesan orang gak vaksin berserah dan percayakan ke allah orang tuaku aja gak masa vaksin gak kalo astrazeneca gak kena efek samping males ribet daftar dll nunggu jatah kampuskantor aja,-1,-1,-1
3,sejauh yg dirasakan vaksin astrazeneca kemarin jam lengan bekas disuntik aja sakit pusing gak demam semoga aman trus,1,1,-1
4,nuko umugabo umwe funga boutique ubanze uge kwikingiza covid nubwoba bwinshi arabaza atinonese ntimwavuzeko abantu astrazeneca bonsa abana batazakingirwa uti erega mwibiseka murugo mfite uruhinja rwonka,1,-1,-1
5,dah yg vaksin astrazeneca,-1,1,1
6,vaksin astrazeneca gt sambalnyet,1,-1,1
7,cerita yg vaksin astrazeneca efek yg dirasain aja,-1,-1,-1
8,bentar vaksin astrazeneca beritaberita ina tapi jujur lebih kepengen vaksin takutnya hahahaha,1,1,1
9,yang udah vaksin astrazeneca,-1,-1,1
10,abis vaksin astrazeneca ko bawaannya laper terus ya,-1,-1,-1
11,dinkes collap idol kpop biar target vaksin tercapai sinovac blackpink astrazeneca bts entar untuk lansia collap rhoma irama,1,-1,-1
12,vaksin menghambat efek berat vaksin menghambat penyebaran bisakah vaksin mandiri berkali kali min dg vaksin yg beda,-1,-1,-1
13,lama covid lama memimpin fikirkan,-1,-1,-1
14,indonesia kembali menerima kedatangan batch kedua covax facility juta dosis vaksin astrazeneca,1,1,1
15,kemarin habis vaksin astrazeneca efeknya baru terasa,-1,-1,-1
16,berjaya slot penuh khamis wajib masuk ofis penuh kes covid nampaknya kena wasiat siapsiap,-1,-1,-1
17,worry kali akibat divaksin pake astrazeneca baru baca berita vaksin astrazeneca dianjurkan utk orang dibawah thn krn buat pembekuan darah aku pagi udh pusing sebab krn aku pusing palingan krn kurang tdr aja worry kali woy woilah,-1,-1,-1
18,pasca vaksin meriang terus sambat seharian jd yakin vaksin astrazeneca sih astradaihatsu,-1,-1,-1
19,sarawak benarkan penggunaan vaksin astrazeneca untuk pelan vaksinasi covid negeri pasukan petugas khas imunisasi covid sarawak,-1,1,1
20,waktu awal kek nya seneng banget udah vaksin sinovac sekarang kek nyesel ga sabaran dikit aja nunggu astrazeneca,1,-1,1
21,sejauh vaksin bisa digunakan indonesia udh macam jarang terjadi efek samping menyebabkan komplikasi baru sinovac ada vaksin yang paling murah aman astrazeneca yang baru pakai terbangak ini india,1,1,1
22,berebut vaksin susah berebut voucher shopeelazada,-1,-1,1
23,dah dapet vaksin kenanya astrazeneca kalo salah salah mohon dimaafkeun heuheuheu,-1,-1,1
24,parno efek samping vaksin hari tetep divaksin krn wajib vaksin sinovac astrazeneca ya dok astrazeneca mas,-1,1,-1
25,vaksin gratis bekasoy ape astrazeneca tapii gratis,1,1,1
26,ok vaksin astrazeneca depok mana ya,-1,-1,-1
27,tiba tiba dapet jadwal vaksin astra tanggal ah elah mepet sik pengumuman astrazeneca tinggal sendirian,-1,-1,-1
28,pesawat khusus membawa juta dosis vaksin astrazeneca kemarin mendarat bandara internasional soekarnohatta tangerang banten jutaan dosis vaksin covid diterima indonesia merupakan hasil kerja multilateral jalur fasilitas covax,1,1,1
29,hari aku vaksin astrazeneca mama endang baik sayang,1,1,1
30,ternyata vaksin astrazeneca yg side effectnya ga aku aja banyak,1,-1,-1
31,surujanjaya vaksin jerman kata vaksin patut guna orang lebih tahun tiada bukti cukup berkesan ema syorkan astrazeneca beri semua peringkat umur panel jerman tetap pertahankan pendiriannya,1,1,1
32,adakah yg sobatsobat yg dapat vaksin astrazeneca divaksin dampak yg gimna gimna banget gaa badan,-1,1,-1
33,alhamdulillah di vaksin astrazeneca tidak merasakan sakit apapun,1,-1,1
34,yg udah vaksin pake astrazeneca ga ya ngerasain nyeri panas dingin mual gt ga,-1,-1,-1
35,kle yg udah vaksin pake astrazeneca efek samping nya gatahan bgt semaleman gabisa tidur badan remuk,-1,-1,-1
36,vaksinnya ntar aja ah nunggu pfizer moderna dll masuk indonesia vaksin kan tinggi efikasinya dibanging sinovac astrazeneca denger,1,-1,1
37,vaksin pifizerbiontech dah digunakan untuk menteri kepala frontliner untuk rakyat vaksin sinovac akan digunakan vaksin covid idaman kalbu pfizerbiontech selesai sinovac china sputnik rusia oxfordastrazeneca britain,1,1,-1
38,sejumlah negara islam telah mengamankan dosis menggunakan vaksin astrazeneca bangladesh iran uni emirat arab pakistan,-1,-1,-1
39,kalo disuntik vaksin astrazeneca otomatis jaminan suku cadang asli,1,-1,1
40,asli vaksin astrazeneca efeknya ngeri masa gw abis vaksin bawaanya langsung pengen cuti,-1,-1,-1
41,yey semoga sabtu vaksin vihara untungnya sinovac pgn sinovac sihh dripada astrazeneca takut soalnya banyak side effectnya,-1,1,-1
42,patutnya temujanji vaksinasi astrazeneca dan mei pwtc bakal dipinda tarikh yang lain ya,-1,-1,-1
43,perlu takut demam lps vaksinsbb mmg symptom biasakene takut klu demam covid sbb symptom luar,-1,-1,-1
44,sejauh yang dapet ijin edar darurat vaksin sinovac astrazeneca semoga vaksin segera menyusul,1,1,1
45,jenis vaksin dipergunakan astrazeneca terlepas berita miring terjadi semoga aja efektif seperti vaksin jenis lain,1,1,1
46,dr kmrn tl bersliweran ttg dampak positif vaksin astrazeneca agar masyarakat ga takut vaksin tsb kali ya ada kasus kematian suntik astrazeneca bbrp waktu,-1,-1,-1
47,vaksin astrazeneca ekstrak teh jati cina ya jadi lancar gini bab abis vaksin,1,-1,1
48,vaksin astrazeneca tanggal menuju datang bulan adl rakaruan,-1,-1,1
49,alhamdulillah abang syida dapat slot utk vaksin,1,1,1
50,kmaren abis semalem demam kayak yoyo malam menggigil siang badan panas membara agak ekstrem ngilu gak ketulungan terpaksa sholat ashar duduk kenapa gue ngerasa mual ya pdhl mencoba makan tepat waktu,-1,-1,-1
51,yg divaksin nanya mending vaksin sinovac astrazeneca,-1,-1,-1
52,nama vaksin keren bgt sinovac astrazeneca aplg astrazeneca kek yuh bada jk besok ak vaksinasi,1,1,1
53,ada jual vaksin astrazeneca,-1,-1,1
54,selepas anti vaksin muncul golongan baru anti robot,-1,-1,-1
55,vaksin yang bagus pfizer sinovac astrazeneca,1,1,1
