,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,covid mematikan untuk manusia mematikan kemanusiaan emng bgst,-1,-1,-1
1,terserah pada percaya covid nga ntar kalo kena bikin rugi orang apalagi keluarga sendiri,-1,-1,-1
2,udeh gak toleransi nih ibu perbesok gua lockdown belio rumah mengingat tetangga yg kena covid kali ibu vaksin gagal tensinya tinggi euy,-1,-1,-1
3,covid mematikan manusia mematikan kemanusiaan,-1,-1,-1
4,banyaknya orang yg anggep remeh ama virus ga bahaya vaksin ga manjur lahh konspirasi saran sih berat mikirnya buang energi duank ikutin aja percaya aja prokes ga susah cm suru pake masker vaksin ga bayarr salah ga rugi bener km selamat,-1,-1,-1
5,menghentikan penyidikan kasus blbi menjerat sjamsul nursalim ichi nursalim buronan korupsi kabur luar negeri sp kena wabah penyakit virus covid sinophobia mematikan,-1,-1,-1
6,ya orang yg aware covid ngerasa takut kita yg carrier merugikan orang tapi kata centil bgt pengen di swab hehehehehe pengen gua tabok rasanya pake tu vaksin setoples,-1,-1,-1
7,berkali kali lihat pemerintah reaktif kasus covid berkali kali lihat gagal antisipasi kasus covid berkali kali lihat bersalah cuci tangan,-1,-1,-1
8,gagal vaksin sm ketemu ibu mertua wkwkwkwk,-1,1,-1
9,selamat pagi aku gagal vaksin,-1,1,-1
10,ngeri gimana caranya ngga reinfeksi ibu mobilitas lumayan tinggi kemarin gagal vaksin gr sakit,-1,1,-1
11,menghitung kerugian awal covid maret hari uang saku sekolah perhari rp rp rugi,-1,-1,-1
12,kasus covid mendadak jadi naik zona merah muncul peta penyebaran itu mulai menyebarkan vaksin secara luas rakyat sukarela menyodorkan tubuhnya untuk dialiri virus apa menghasut berhasil mematikan gerak manusia,-1,-1,-1
13,kali gagal vaksin selasa coba,-1,1,-1
14,harisnya hari gue vaksin tp gagal karna semalem ga cukup tidur,-1,-1,-1
15,senang sedih senang krna udh vaksin sedih krna gagal lain,-1,-1,-1
16,ayodong masyarakat ikut bergerak bantu pemerintah melawan covid jgn merengek pemerintah aja bapak suruh membungkuk minta maaf karena gagal menangani pandemi abis suruh sujud minta tolong masyarakat bantu,-1,-1,-1
17,haji gagal covid madura tegal melambung tinggi,-1,1,-1
18,ditertibkan kerumunannya pedagangnya paham aturannya gimanaehh diangkut dagangannya mencari makan hari jika dagangannyawarungnya suruh tutup hari iniesok makan corona mematikan kemanusiaan,-1,1,-1
19,kesini kyak stuck pernyataan ga tau bener mewakili bangetdi suruh mmatuhi prokes ya hayuk ga rugi kan tp bicara ttg vaksin covid yg bla bla bla ya ga tau krna mmng otak kecil smntara pengetahuan luas kek tau sih,-1,-1,-1
20,libur corona hari sabtuminggu uang jajan sklh rb klo sabtu minggu tetep dikasih duit anjir rugi,-1,-1,-1
21,benerbener covid sedekat kalo ada ga percaya semoga allah membukakan pintu hatinya semoga beliau golongan orang yg mendzolimi merugikan orang,-1,1,-1
22,ikhtiar dgn protokol pencegahan covid gk rugi sebenernya percaya ato gk percaya covid ngejalanin bisa bikin sehat kebukti ane yg langganan flu bulanan setaun cuma kali flu,-1,1,-1
23,kes covid sarawak tetap tinggi hari mac merekodkan kes perlukah kuaratin hari utk masuk sarawak kuarantin kes tetap tinggiyg rugi rakyat perlu berulang alik semenanjung atas urusan kerja perniagaan,-1,1,-1
24,covid alasan yg bs dibantah mudik haji perusahaan rugi alasannya cm covid,-1,1,-1
25,tidak efektif baik psbb ppkm gagal hentikan penularan krn peraturan sekedar himbauan jgnkan himbauan yg tegas melarang dilanggar pertegaskan aturannya sanksinya diperberat kasihan pak satu nya vaksin,-1,-1,-1
26,kebangkitan covid pukulan mematikan utas dominicus husada,-1,-1,-1
